id,lang_id,menu_id,code,lbl
LopYWv3KTkywPdEInpYf3w,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,启用,Enable
16UdsUq4StC+yWKMtS4qxQ,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,排序,Sort
Bdr9BXyoTeG5p94rO+VlTw,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,备注,Remark
8BmLQXlFSXSkM6Z60M4/7w,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,创建人,Creator
TK+Wk1pLTcWHW1iYZqrJ/A,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,创建时间,CreateTime
0eJqdkdcTZqSIuHj/0gNfQ,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,更新人,Updater
rsEfVMxGSAGI9diNsfZAPQ,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,更新时间,UpdateTime
,,,,
yMGixZooTKmMJpBnT+Gb8g,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,名称,Name
yVh+gQOvRMiNVc0wPv2HCw,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,首页,Home
3dnUGb4hQbi4GZstkHVVFg,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,菜单权限,MenuPermission
hL+pKYOrQduxGX+PE5kV3w,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,按钮权限,ButtonPermission
GW5RUlWwRxqAK7gmL34gaA,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,数据权限,DataPermission
yOgkz+eOTjyO1dut3etS/A,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,字段权限,FieldPermission
uSdOl7qfRJqmr4GJBWT0XQ,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,锁定,Lock
Ck2PivMwRL2fPZH8yyhsbQ,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,启用,Eanble
uXsHNra8QLyZra7zuZSFsg,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,排序,Sort
gQY4j5UdRDiqYSiySKmQIA,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,备注,Remark
l5Hsb/0lTBengJfPauXAKA,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,创建人,Creator
zhWvwAmJQiexRDBuPwL/Hw,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,创建时间,CreateTime
gIRWf6CIQzK3S5rMyEmz7A,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,更新人,Updater
j4IFJAPHRhW+6KDMCyN0BA,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,更新时间,UpdateTime
,,,,
4lPmQ9wtRBWE5AfWrMKDLg,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,协议,Protocol
Kkb5ZNpPQhGVI8u2RKdtfg,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,名称,Name
0HW7eQ/0TSm4alrLhrzO+w,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,锁定,Lock
pZNDZHLRR9OIAqy3+zGybw,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,默认,Default
BfaG0ibcSyiKZL5zADDtFA,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,启用,Enable
yxMbfDp+Q/ODYk6HDeR0Vg,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,排序,Sort
jcBLP7mtQUuIw3DMkR8atw,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,备注,Remark
Sd1Of0P0TZmzmxd83Adbrw,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,创建人,Creator
RmEQ13jERl6Jt5RNoxph3A,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,创建时间,CreateTime
LQ9E6f8zRk6L75AZI7XzWA,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,更新人,Updater
VtMVupi6QSeDa/mIZpkkeQ,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,更新时间,UpdateTime
,,,,
2YgotyVYTVeSmJbsQHJRhg,eYHRCo6WQFm4TBWYzAdERg,TO8DBpthSvG2/XDWOwAqtA,名称,Name
